,Name,I2CTime,C2ITime,A2ATime,A2BTime,B2ATime,B2BTime,C2CTime,Delay,Area,PowerStatic,EnergyDynamic,JJs
0,AND_RSFQ,0.0,2.2,0.0,0.0,0.0,0.0,0.0,7.0,6300,2805,5.78,
1,ANDT_RSFQ,0.0,3.8,0.0,0.0,0.0,0.0,0.0,9.3,7000,2787,4.75,16
2,DFF_RSFQ,0.6,0.9,0.0,0.0,0.0,0.0,0.0,5.8,4200,1815,2.84,
3,DFFT_RSFQ,1.8,1.8,0.0,0.0,0.0,0.0,0.0,8.5,5600,2878,4.05,9
4,NDRO_RSFQ,0.0,0.0,0.0,1.5,1.9,0.0,6.9,5.0,4900,2878,4.71,
5,NDROT_RSFQ,0.0,0.0,0.0,2.2,5.0,0.0,10.1,9.0,8400,3713,5.74,18
6,NOT_RSFQ,4.2,8.4,0.0,0.0,0.0,0.0,12.8,10.8,4900,2259,3.66,
7,NOTT_RSFQ,7.5,8.0,0.0,0.0,0.0,0.0,11.6,13.5,7000,2545,3.82,12
8,OR_RSFQ,5.6,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5600,2980,5.3,
9,ORT_RSFQ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7000,2722,4.11,14
10,XNOR_RSFQ,12.9,8.6,3.4,0.0,16.2,3.5,13.4,21.8,7000,4215,8.31,
11,XNORT_RSFQ,18.1,12.5,7.5,11.3,11.3,7.5,30.0,19.0,6300,4280,7.98,18
12,XOR_RSFQ,8.1,4.4,3.5,8.0,7.9,3.5,0.0,5.8,4900,2402,4.64,
13,XORT_RSFQ,11.6,3.9,3.3,9.0,9.1,3.3,0.0,5.5,7000,2985,5.18,18
14,BUFF_RSFQ,0.0,0.0,3.4,0.0,0.0,0.0,0.0,6.8,3500,2132,2.07,
15,BUFFT_RSFQ,0.0,0.0,7.9,0.0,0.0,0.0,0.0,7.3,2800,1321,1.45,3
16,JTL_RSFQ,0.0,0.0,3.5,0.0,0.0,0.0,0.0,3.5,2100,910,1.03,
17,JTLT_RSFQ,0.0,0.0,6.8,0.0,0.0,0.0,0.0,6.2,2800,1110,1.26,3
18,SPLIT_RSFQ,0.0,0.0,3.4,0.0,0.0,0.0,0.0,6.8,3500,2093,2.17,
19,SPLITT_RSFQ,0.0,0.0,9.1,0.0,0.0,0.0,0.0,7.3,3500,1547,1.71,4
20,MERGE_RSFQ,0.0,0.0,8.4,3.0,3.0,8.9,0.0,10.7,4900,2526,3.09,
21,MERGET_RSFQ,0.0,0.0,3.3,3.2,2.3,3.3,0.0,8.0,4900,1851,2.45,8
22,PTLTX_RSFQ,0.0,0.0,7.2,0.0,0.0,0.0,0.0,3.3,2100,910,1.03,
23,PTLRX_RSFQ,0.0,0.0,6.8,0.0,0.0,0.0,0.0,5.5,2800,782,1.27,
24,PTL_RSFQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,400,0,0.0,0
25,SFQDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000,2301,0,11
25,DCSFQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100,1170,0,3
